# Logfile created on 2026-03-01 19:20:41 +0100 by logger.rb/v1.6.0
2026-03-01 19:20:41 +0100: Memory Usage (421728K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/analog_wires.gds
2026-03-01 19:20:41 +0100: Memory Usage (421728K) : Ruby Version for klayout: 3.3.10
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : Loading database to memory is complete.
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_analog_wires/analog_wires_analog_wires_main.lyrdb
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : Evaluate switches.
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : tables selected: main
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : deep mode is enabled.
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : FEOL enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : BEOL enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : OFFGRID enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : PIN enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : FORBIDDEN enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : RECOMMENDED enabled: true
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : PreCheck DRC enabled: false
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : CONNECTIVITY_RULES enabled: true.
2026-03-01 19:20:41 +0100: Memory Usage (422796K) : Read in polygons from layers.
2026-03-01 19:20:41 +0100: Memory Usage (423860K) : activ_drw has 190 polygons
2026-03-01 19:20:41 +0100: Memory Usage (423860K) : activ_pin has 0 polygons
2026-03-01 19:20:41 +0100: Memory Usage (423860K) : activ_mask has 0 polygons
