# Logfile created on 2026-03-01 15:08:43 +0100 by logger.rb/v1.6.0
2026-03-01 15:08:43 +0100: Memory Usage (421448K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac128module.gds
2026-03-01 15:08:43 +0100: Memory Usage (421448K) : Ruby Version for klayout: 3.3.10
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : Loading database to memory is complete.
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac128module/dac128module_dac128module_main.lyrdb
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : Evaluate switches.
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : tables selected: main
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : deep mode is enabled.
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : FEOL enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : BEOL enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : OFFGRID enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : PIN enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : FORBIDDEN enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : RECOMMENDED enabled: true
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : PreCheck DRC enabled: false
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : CONNECTIVITY_RULES enabled: true.
2026-03-01 15:08:43 +0100: Memory Usage (422424K) : Read in polygons from layers.
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_drw has 1852 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_iopc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : activ_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : biwind_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : biwind_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : pemwind_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_drw has 1988 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_iopc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : gatpoly_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : cont_drw has 8324 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423452K) : cont_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : nsd_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : nsd_block has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : metal1_drw has 6773 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : metal1_pin has 931 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : metal1_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423580K) : metal1_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423708K) : metal1_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (423708K) : metal1_slit has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424096K) : metal1_text has 931 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424096K) : metal1_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : metal1_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : metal1_res has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : metal1_iprobe has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : metal1_diffprb has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : passiv_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : passiv_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : passiv_sbump has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424352K) : passiv_pillar has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424480K) : passiv_pdl has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424480K) : metal2_drw has 2787 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424608K) : metal2_pin has 1980 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424608K) : metal2_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424736K) : metal2_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424736K) : metal2_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424864K) : metal2_slit has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424864K) : metal2_text has 1980 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424992K) : metal2_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424992K) : metal2_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (424992K) : metal2_res has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425120K) : metal2_iprobe has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425120K) : metal2_diffprb has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : baspoly_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : baspoly_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : psd_drw has 533 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : nldb_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : digibnd_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : via1_drw has 1912 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425248K) : backmetal1_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425376K) : backmetal1_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425376K) : backmetal1_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425504K) : backmetal1_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425504K) : backmetal1_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425632K) : backmetal1_slit has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425632K) : backmetal1_text has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425760K) : backmetal1_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425760K) : backmetal1_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425888K) : backmetal1_res has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (425888K) : backmetal1_iprobe has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426016K) : backmetal1_diffprb has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426016K) : backpassiv_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426144K) : res_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426144K) : sram_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426272K) : trans_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426272K) : ind_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426400K) : ind_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426400K) : ind_text has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426528K) : salblock_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426528K) : via2_drw has 680 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426656K) : metal3_drw has 1103 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426656K) : metal3_pin has 549 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426784K) : metal3_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426784K) : metal3_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426912K) : metal3_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426912K) : metal3_slit has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (426912K) : metal3_text has 417 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427040K) : metal3_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427040K) : metal3_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427168K) : metal3_res has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427168K) : metal3_iprobe has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427296K) : metal3_diffprb has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427552K) : nwell_drw has 533 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : nwell_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : nbulay_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : nbulay_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : nbulay_block has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : emwind_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : emwind_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427680K) : deepco_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427808K) : deepco_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427808K) : mim_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427936K) : edgeseal_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (427936K) : edgeseal_bound has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428064K) : substrate_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428064K) : substrate_text has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428192K) : dfpad_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428192K) : dfpad_pillar has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428320K) : dfpad_sbump has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428320K) : thickgateox_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428448K) : pldb_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428448K) : pwell_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428576K) : pwell_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428576K) : pwell_block has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428704K) : ic_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428704K) : via3_drw has 960 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428832K) : metal4_drw has 50 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428832K) : metal4_pin has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428960K) : metal4_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (428960K) : metal4_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429088K) : metal4_nofill has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429088K) : metal4_slit has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429216K) : metal4_text has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429216K) : metal4_opc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429344K) : metal4_noqrc has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429344K) : metal4_res has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429472K) : metal4_iprobe has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429472K) : metal4_diffprb has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429600K) : heattrans_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429600K) : heatres_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429728K) : pempoly_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429728K) : fbe_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429856K) : empoly_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429856K) : ldmos_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429984K) : pbiwind_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (429984K) : digisub_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430112K) : nodrc_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430112K) : text_drw has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430240K) : via4_drw has 2000 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430240K) : metal5_drw has 12 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430368K) : metal5_pin has 2 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430368K) : metal5_mask has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430496K) : metal5_filler has 0 polygons
2026-03-01 15:08:43 +0100: Memory Usage (430624K) : metal5_nofill has 0 polygons
