# Logfile created on 2026-03-11 23:50:57 +0100 by logger.rb/v1.6.0
2026-03-11 23:50:57 +0100: Memory Usage (421604K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac2u16out2in.gds
2026-03-11 23:50:57 +0100: Memory Usage (421604K) : Ruby Version for klayout: 3.3.10
2026-03-11 23:50:57 +0100: Memory Usage (422740K) : Loading database to memory is complete.
2026-03-11 23:50:57 +0100: Memory Usage (422740K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac2u16out2in/dac2u16out2in_dac2u16out2in_main.lyrdb
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : Evaluate switches.
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : tables selected: main
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : deep mode is enabled.
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : FEOL enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : BEOL enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : OFFGRID enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : PIN enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : FORBIDDEN enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : RECOMMENDED enabled: true
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : PreCheck DRC enabled: false
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : CONNECTIVITY_RULES enabled: true.
2026-03-11 23:50:57 +0100: Memory Usage (422868K) : Read in polygons from layers.
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_drw has 254 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_pin has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_mask has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_filler has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_nofill has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_opc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_iopc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : activ_noqrc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : biwind_drw has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : biwind_opc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : pemwind_drw has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_drw has 274 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_pin has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_filler has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_nofill has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_opc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_iopc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : gatpoly_noqrc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : cont_drw has 1186 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : cont_opc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : nsd_drw has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : nsd_block has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424100K) : metal1_drw has 937 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424228K) : metal1_pin has 146 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424228K) : metal1_mask has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424228K) : metal1_filler has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424356K) : metal1_nofill has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424356K) : metal1_slit has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424484K) : metal1_text has 2 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424612K) : metal1_opc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424868K) : metal1_noqrc has 0 polygons
2026-03-11 23:50:57 +0100: Memory Usage (424868K) : metal1_res has 0 polygons
