# Logfile created on 2026-03-16 12:40:51 +0100 by logger.rb/v1.6.0
2026-03-16 12:40:51 +0100: Memory Usage (421628K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dac4x32module.gds
2026-03-16 12:40:51 +0100: Memory Usage (421628K) : Ruby Version for klayout: 3.3.10
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : Loading database to memory is complete.
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dac4x32module/dac4x32module_dac4x32module_main.lyrdb
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : Evaluate switches.
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : tables selected: main
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : deep mode is enabled.
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : FEOL enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : BEOL enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : OFFGRID enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : PIN enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : FORBIDDEN enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : RECOMMENDED enabled: true
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : PreCheck DRC enabled: false
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : CONNECTIVITY_RULES enabled: true.
2026-03-16 12:40:51 +0100: Memory Usage (422780K) : Read in polygons from layers.
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_drw has 2192 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_mask has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_iopc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : activ_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : biwind_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : biwind_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : pemwind_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_drw has 2256 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_pin has 32 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_iopc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : gatpoly_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : cont_drw has 15760 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : cont_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : nsd_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : nsd_block has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : metal1_drw has 7721 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424124K) : metal1_pin has 1105 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424252K) : metal1_mask has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424252K) : metal1_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424380K) : metal1_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424380K) : metal1_slit has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424520K) : metal1_text has 1041 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424648K) : metal1_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424776K) : metal1_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424904K) : metal1_res has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424904K) : metal1_iprobe has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (424904K) : metal1_diffprb has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425032K) : passiv_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425032K) : passiv_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425032K) : passiv_sbump has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425032K) : passiv_pillar has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425032K) : passiv_pdl has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425160K) : metal2_drw has 3220 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425160K) : metal2_pin has 2160 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425160K) : metal2_mask has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425288K) : metal2_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425416K) : metal2_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425416K) : metal2_slit has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425416K) : metal2_text has 2160 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425544K) : metal2_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425544K) : metal2_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425672K) : metal2_res has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425672K) : metal2_iprobe has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : metal2_diffprb has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : baspoly_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : baspoly_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : psd_drw has 631 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : nldb_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : digibnd_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : via1_drw has 3350 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425800K) : backmetal1_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425928K) : backmetal1_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (425928K) : backmetal1_mask has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426056K) : backmetal1_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426056K) : backmetal1_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426184K) : backmetal1_slit has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426184K) : backmetal1_text has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426312K) : backmetal1_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426312K) : backmetal1_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426440K) : backmetal1_res has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426440K) : backmetal1_iprobe has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426568K) : backmetal1_diffprb has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426568K) : backpassiv_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426696K) : res_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426696K) : sram_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426824K) : trans_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426824K) : ind_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426952K) : ind_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (426952K) : ind_text has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427080K) : salblock_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427080K) : via2_drw has 1926 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427208K) : metal3_drw has 1456 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427208K) : metal3_pin has 685 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427336K) : metal3_mask has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427336K) : metal3_filler has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427464K) : metal3_nofill has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427464K) : metal3_slit has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427592K) : metal3_text has 541 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427592K) : metal3_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427592K) : metal3_noqrc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427720K) : metal3_res has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427720K) : metal3_iprobe has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427848K) : metal3_diffprb has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (427848K) : nwell_drw has 633 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428232K) : nwell_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428232K) : nbulay_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : nbulay_pin has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : nbulay_block has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : emwind_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : emwind_opc has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : deepco_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428360K) : deepco_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428488K) : mim_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428488K) : edgeseal_drw has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428616K) : edgeseal_bound has 0 polygons
2026-03-16 12:40:51 +0100: Memory Usage (428616K) : substrate_drw has 32 polygons
