# Logfile created on 2026-03-15 15:39:50 +0100 by logger.rb/v1.6.0
2026-03-15 15:39:50 +0100: Memory Usage (421568K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dacbuffer.gds
2026-03-15 15:39:50 +0100: Memory Usage (421568K) : Ruby Version for klayout: 3.3.10
2026-03-15 15:39:50 +0100: Memory Usage (422524K) : Loading database to memory is complete.
2026-03-15 15:39:50 +0100: Memory Usage (422524K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dacbuffer/dacbuffer_dacbuffer_main.lyrdb
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : Evaluate switches.
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : tables selected: main
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : deep mode is enabled.
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : FEOL enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : BEOL enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : OFFGRID enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : PIN enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : FORBIDDEN enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : RECOMMENDED enabled: true
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : PreCheck DRC enabled: false
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : CONNECTIVITY_RULES enabled: true.
2026-03-15 15:39:50 +0100: Memory Usage (422704K) : Read in polygons from layers.
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_drw has 5 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_pin has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_mask has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_filler has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_nofill has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_opc has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_iopc has 0 polygons
2026-03-15 15:39:50 +0100: Memory Usage (423608K) : activ_noqrc has 0 polygons
