# Logfile created on 2026-03-16 02:19:21 +0100 by logger.rb/v1.6.0
2026-03-16 02:19:21 +0100: Memory Usage (421676K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/dacendbuffer.gds
2026-03-16 02:19:21 +0100: Memory Usage (421676K) : Ruby Version for klayout: 3.3.10
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : Loading database to memory is complete.
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_dacendbuffer/dacendbuffer_dacendbuffer_main.lyrdb
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : Evaluate switches.
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : tables selected: main
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : deep mode is enabled.
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : FEOL enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : BEOL enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : OFFGRID enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : PIN enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : FORBIDDEN enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : RECOMMENDED enabled: true
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : PreCheck DRC enabled: false
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : CONNECTIVITY_RULES enabled: true.
2026-03-16 02:19:21 +0100: Memory Usage (422828K) : Read in polygons from layers.
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_drw has 20 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_pin has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_mask has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_filler has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_nofill has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_opc has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_iopc has 0 polygons
2026-03-16 02:19:21 +0100: Memory Usage (424248K) : activ_noqrc has 0 polygons
