# Logfile created on 2026-02-12 10:10:38 +0100 by logger.rb/v1.6.0
2026-02-12 10:10:38 +0100: Memory Usage (422704K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/librelane/runs/RUN_2026-02-12_09-49-48/final/gds/heichips25_pudding.gds
2026-02-12 10:10:38 +0100: Memory Usage (422704K) : Ruby Version for klayout: 3.3.10
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : Loading database to memory is complete.
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_heichips25_pudding/heichips25_pudding_heichips25_pudding_main.lyrdb
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : Evaluate switches.
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : tables selected: main
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : deep mode is enabled.
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : FEOL enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : BEOL enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : OFFGRID enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : PIN enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : FORBIDDEN enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : RECOMMENDED enabled: true
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : PreCheck DRC enabled: false
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : CONNECTIVITY_RULES enabled: true.
2026-02-12 10:10:38 +0100: Memory Usage (427844K) : Read in polygons from layers.
2026-02-12 10:10:38 +0100: Memory Usage (429812K) : activ_drw has 33627 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430068K) : activ_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430068K) : activ_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430068K) : activ_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430196K) : activ_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430196K) : activ_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430196K) : activ_iopc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430324K) : activ_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430452K) : biwind_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430452K) : biwind_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : pemwind_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_drw has 29317 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_iopc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430580K) : gatpoly_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430708K) : cont_drw has 231567 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430708K) : cont_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430836K) : nsd_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (430836K) : nsd_block has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431092K) : metal1_drw has 51560 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431220K) : metal1_pin has 21599 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431220K) : metal1_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431348K) : metal1_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431348K) : metal1_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431476K) : metal1_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431656K) : metal1_text has 21388 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431784K) : metal1_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431784K) : metal1_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431912K) : metal1_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (431912K) : metal1_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432040K) : metal1_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432040K) : passiv_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432168K) : passiv_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432168K) : passiv_sbump has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432296K) : passiv_pillar has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432424K) : passiv_pdl has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (432936K) : metal2_drw has 19994 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433192K) : metal2_pin has 1980 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433192K) : metal2_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433192K) : metal2_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433192K) : metal2_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433192K) : metal2_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433320K) : metal2_text has 3428 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433448K) : metal2_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433576K) : metal2_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433704K) : metal2_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433704K) : metal2_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433832K) : metal2_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433832K) : baspoly_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433960K) : baspoly_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (433960K) : psd_drw has 15597 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434088K) : nldb_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434088K) : digibnd_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434344K) : via1_drw has 13134 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434728K) : backmetal1_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434728K) : backmetal1_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434728K) : backmetal1_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434728K) : backmetal1_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434728K) : backmetal1_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434856K) : backmetal1_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434856K) : backmetal1_text has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434984K) : backmetal1_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (434984K) : backmetal1_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435112K) : backmetal1_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435112K) : backmetal1_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435240K) : backmetal1_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435240K) : backpassiv_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435368K) : res_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435368K) : sram_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435496K) : trans_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435496K) : ind_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435624K) : ind_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435624K) : ind_text has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435752K) : salblock_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (435880K) : via2_drw has 11278 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436264K) : metal3_drw has 5825 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436392K) : metal3_pin has 589 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436392K) : metal3_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436392K) : metal3_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436520K) : metal3_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436520K) : metal3_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436648K) : metal3_text has 797 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436648K) : metal3_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436776K) : metal3_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436776K) : metal3_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436904K) : metal3_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (436904K) : metal3_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437032K) : nwell_drw has 8065 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437160K) : nwell_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437160K) : nbulay_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437288K) : nbulay_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437288K) : nbulay_block has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437416K) : emwind_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437416K) : emwind_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437544K) : deepco_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437544K) : deepco_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437672K) : mim_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437672K) : edgeseal_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437800K) : edgeseal_bound has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437800K) : substrate_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437928K) : substrate_text has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (437928K) : dfpad_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438056K) : dfpad_pillar has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438056K) : dfpad_sbump has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438184K) : thickgateox_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438184K) : pldb_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438312K) : pwell_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438312K) : pwell_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438440K) : pwell_block has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438440K) : ic_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438696K) : via3_drw has 7037 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438824K) : metal4_drw has 1433 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438824K) : metal4_pin has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438952K) : metal4_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (438952K) : metal4_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439080K) : metal4_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439080K) : metal4_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439208K) : metal4_text has 7 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439208K) : metal4_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439336K) : metal4_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439336K) : metal4_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439464K) : metal4_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439464K) : metal4_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439592K) : heattrans_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439592K) : heatres_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439720K) : pempoly_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439720K) : fbe_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439848K) : empoly_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439976K) : ldmos_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (439976K) : pbiwind_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440104K) : digisub_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440104K) : nodrc_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440232K) : text_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440360K) : via4_drw has 7845 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440488K) : metal5_drw has 1213 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440616K) : metal5_pin has 2 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440616K) : metal5_mask has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440744K) : metal5_filler has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440744K) : metal5_nofill has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440744K) : metal5_slit has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_text has 4 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_opc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_noqrc has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_res has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_iprobe has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : metal5_diffprb has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : radhard_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : memcap_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : varicap_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : flash_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : intbondvia_drw has 0 polygons
2026-02-12 10:10:38 +0100: Memory Usage (440872K) : intbondmet_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : devbondvia_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : devbondmet_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : devtrench_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : redist_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphbot_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphtop_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : antvia1_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : antmetal2_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphcont_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : siwg_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : siwg_filler has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : siwg_nofill has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : sigrating_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : singrating_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphpas_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : emwind3_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : emwihv3_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : redbulay_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : smos_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphpad_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : polimide_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : polimide_pin has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_pin has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_esd has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_diode has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_tsv has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_iprobe has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_diffprb has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_pillar has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_sbump has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_otp has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_pdiode has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_mom has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : recog_pcm has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : colopen_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmetal1_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmetal1_filler has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmetal1_nofill has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmetal1_slit has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmetal1_opc has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmet1l_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmet1l_filler has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmet1l_nofill has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmet1l_slit has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphmet1l_opc has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : extblock_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : nldd_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : pldd_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : next_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : pext_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : nexthv_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : pexthv_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : graphgate_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : sinwg_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : sinwg_filler has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : sinwg_nofill has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : mempad_drw has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : topvia1_drw has 2656 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : topmetal1_drw has 49 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : topmetal1_pin has 49 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : topmetal1_mask has 0 polygons
2026-02-12 10:10:39 +0100: Memory Usage (440872K) : topmetal1_filler has 0 polygons
