# Logfile created on 2026-03-24 22:36:47 +0100 by logger.rb/v1.6.0
2026-03-24 22:36:47 +0100: Memory Usage (421780K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/hvnmirror.gds
2026-03-24 22:36:47 +0100: Memory Usage (421780K) : Ruby Version for klayout: 3.3.10
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : Loading database to memory is complete.
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_hvnmirror/hvnmirror_hvnmirror_main.lyrdb
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : Evaluate switches.
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : tables selected: main
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : deep mode is enabled.
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : FEOL enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : BEOL enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : OFFGRID enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : PIN enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : FORBIDDEN enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : RECOMMENDED enabled: true
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : PreCheck DRC enabled: false
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : CONNECTIVITY_RULES enabled: true.
2026-03-24 22:36:47 +0100: Memory Usage (422972K) : Read in polygons from layers.
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_drw has 99 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_pin has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_mask has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_filler has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_nofill has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_opc has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_iopc has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : activ_noqrc has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : biwind_drw has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : biwind_opc has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : pemwind_drw has 0 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : gatpoly_drw has 34 polygons
2026-03-24 22:36:47 +0100: Memory Usage (424552K) : gatpoly_pin has 32 polygons
