# Logfile created on 2026-03-16 14:08:37 +0100 by logger.rb/v1.6.0
2026-03-16 14:08:37 +0100: Memory Usage (421936K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/input_mirror.gds
2026-03-16 14:08:37 +0100: Memory Usage (421936K) : Ruby Version for klayout: 3.3.10
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : Loading database to memory is complete.
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_input_mirror/input_mirror_input_mirror_main.lyrdb
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : Evaluate switches.
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : tables selected: main
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : deep mode is enabled.
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : FEOL enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : BEOL enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : OFFGRID enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : PIN enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : FORBIDDEN enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : RECOMMENDED enabled: true
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : PreCheck DRC enabled: false
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : CONNECTIVITY_RULES enabled: true.
2026-03-16 14:08:37 +0100: Memory Usage (422960K) : Read in polygons from layers.
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_drw has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_pin has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_mask has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_filler has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_nofill has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_opc has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_iopc has 0 polygons
2026-03-16 14:08:37 +0100: Memory Usage (423788K) : activ_noqrc has 0 polygons
