# Logfile created on 2026-02-16 21:08:28 +0100 by logger.rb/v1.6.0
2026-02-16 21:08:28 +0100: Memory Usage (422084K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/analog_wires.gds
2026-02-16 21:08:28 +0100: Memory Usage (422084K) : Ruby Version for klayout: 3.3.10
2026-02-16 21:08:28 +0100: Memory Usage (423116K) : Loading database to memory is complete.
2026-02-16 21:08:28 +0100: Memory Usage (423116K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_pmos_buffer_cap/analog_wires_pmos_buffer_cap_main.lyrdb
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : Evaluate switches.
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : tables selected: main
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : deep mode is enabled.
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : FEOL enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : BEOL enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : OFFGRID enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : PIN enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : FORBIDDEN enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : RECOMMENDED enabled: true
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : PreCheck DRC enabled: false
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : CONNECTIVITY_RULES enabled: true.
2026-02-16 21:08:28 +0100: Memory Usage (423284K) : Read in polygons from layers.
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_drw has 5 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_pin has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_mask has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_filler has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_nofill has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_opc has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_iopc has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : activ_noqrc has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : biwind_drw has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : biwind_opc has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : pemwind_drw has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : gatpoly_drw has 2 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : gatpoly_pin has 1 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : gatpoly_filler has 0 polygons
2026-02-16 21:08:28 +0100: Memory Usage (424468K) : gatpoly_nofill has 0 polygons
