# Logfile created on 2026-02-15 23:42:29 +0100 by logger.rb/v1.6.0
2026-02-15 23:42:29 +0100: Memory Usage (421712K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/cmaier/EDA/PUDDING/gds/pmos_buffer_cap.gds
2026-02-15 23:42:29 +0100: Memory Usage (421712K) : Ruby Version for klayout: 3.3.10
2026-02-15 23:42:29 +0100: Memory Usage (422672K) : Loading database to memory is complete.
2026-02-15 23:42:29 +0100: Memory Usage (422672K) : IHP-SG13G2 KLayout DRC runset output at: /home/cmaier/EDA/PUDDING/gds/drc_run_pmos_buffer_cap/pmos_buffer_cap_pmos_buffer_cap_main.lyrdb
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : Evaluate switches.
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : tables selected: main
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : KLayout will use 1 thread(s) in tiling mode.
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : deep mode is enabled.
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : FEOL enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : BEOL enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : OFFGRID enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : PIN enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : FORBIDDEN enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : RECOMMENDED enabled: true
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : PreCheck DRC enabled: false
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : CONNECTIVITY_RULES enabled: true.
2026-02-15 23:42:29 +0100: Memory Usage (422800K) : Read in polygons from layers.
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_drw has 5 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_mask has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_iopc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : activ_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : biwind_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : biwind_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : pemwind_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_drw has 2 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_pin has 1 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_iopc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : gatpoly_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : cont_drw has 138 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : cont_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : nsd_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423704K) : nsd_block has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423832K) : metal1_drw has 6 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423832K) : metal1_pin has 2 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423832K) : metal1_mask has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423832K) : metal1_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423960K) : metal1_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (423960K) : metal1_slit has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424088K) : metal1_text has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424088K) : metal1_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : metal1_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : metal1_res has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : metal1_iprobe has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : metal1_diffprb has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : passiv_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424216K) : passiv_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424344K) : passiv_sbump has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424344K) : passiv_pillar has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424472K) : passiv_pdl has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424472K) : metal2_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424600K) : metal2_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424600K) : metal2_mask has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424728K) : metal2_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424728K) : metal2_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424856K) : metal2_slit has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424856K) : metal2_text has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424856K) : metal2_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424984K) : metal2_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (424984K) : metal2_res has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425112K) : metal2_iprobe has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425112K) : metal2_diffprb has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425112K) : baspoly_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : baspoly_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : psd_drw has 1 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : nldb_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : digibnd_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : via1_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425240K) : backmetal1_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425368K) : backmetal1_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425368K) : backmetal1_mask has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425496K) : backmetal1_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425496K) : backmetal1_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425624K) : backmetal1_slit has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425624K) : backmetal1_text has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425752K) : backmetal1_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425752K) : backmetal1_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425880K) : backmetal1_res has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (425880K) : backmetal1_iprobe has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426008K) : backmetal1_diffprb has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426008K) : backpassiv_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426136K) : res_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426136K) : sram_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426264K) : trans_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426264K) : ind_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426392K) : ind_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426392K) : ind_text has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426520K) : salblock_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426520K) : via2_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426648K) : metal3_drw has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426648K) : metal3_pin has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426776K) : metal3_mask has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426776K) : metal3_filler has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426904K) : metal3_nofill has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426904K) : metal3_slit has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (426904K) : metal3_text has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427032K) : metal3_opc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427032K) : metal3_noqrc has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427160K) : metal3_res has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427160K) : metal3_iprobe has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427288K) : metal3_diffprb has 0 polygons
2026-02-15 23:42:29 +0100: Memory Usage (427544K) : nwell_drw has 3 polygons
